iter	Passed	Remaining
152	566	3134
153	570	3131
154	573	3127
155	577	3123
156	580	3119
157	584	3114
158	587	3109
159	591	3106
160	595	3101
161	598	3096
162	602	3092
163	605	3087
164	609	3085
165	613	3081
166	616	3077
167	620	3074
168	624	3071
169	628	3068
170	632	3065
171	636	3062
172	639	3057
173	643	3053
174	646	3048
175	650	3044
176	653	3039
177	657	3035
178	660	3030
179	664	3025
180	668	3022
181	672	3020
182	675	3016
183	679	3012
184	683	3009
185	686	3005
186	690	3001
187	693	2996
188	697	2992
189	700	2987
190	704	2983
191	708	2980
192	711	2977
193	715	2973
194	719	2970
195	723	2967
196	726	2963
197	730	2959
198	734	2955
199	738	2953
200	742	2951
201	747	2951
202	750	2948
203	754	2945
204	759	2943
205	762	2939
206	766	2936
207	770	2933
208	774	2930
209	778	2929
210	782	2927
211	787	2926
212	791	2924
213	795	2922
214	800	2921
215	804	2921
216	809	2922
217	815	2923
218	820	2926
219	827	2933
220	833	2937
221	839	2940
222	844	2940
223	849	2943
224	854	2944
225	860	2946
226	866	2951
227	873	2956
228	879	2962
229	885	2965
230	891	2969
231	899	2977
232	906	2984
233	913	2990
234	921	3000
235	929	3010
236	937	3016
237	944	3024
238	953	3034
239	962	3046
240	970	3055
241	979	3067
242	986	3073
243	995	3084
244	1002	3090
245	1011	3101
246	1019	3108
247	1028	3119
248	1038	3133
249	1046	3139
250	1056	3152
251	1064	3160
252	1073	3170
253	1082	3179
254	1092	3190
255	1100	3199
256	1109	3206
257	1116	3211
258	1126	3221
259	1135	3231
260	1142	3236
261	1149	3238
262	1155	3238
263	1162	3241
264	1167	3239
265	1173	3238
266	1180	3241
267	1186	3239
268	1191	3238
269	1199	3243
270	1208	3250
271	1216	3255
272	1225	3262
273	1236	3275
274	1243	3278
275	1249	3276
276	1256	3279
277	1263	3282
278	1270	3284
279	1278	3288
280	1285	3288
281	1292	3289
282	1300	3294
283	1308	3298
284	1317	3304
285	1324	3307
286	1332	3311
287	1340	3313
288	1347	3315
289	1354	3316
290	1361	3316
291	1367	3316
292	1374	3316
293	1382	3319
294	1389	3320
295	1397	3322
296	1404	3325
297	1413	3328
298	1421	3332
299	1427	3331
300	1436	3335
301	1444	3339
302	1454	3346
303	1464	3352
304	1470	3350
305	1476	3348
306	1483	3348
307	1490	3349
308	1498	3351
309	1507	3354
310	1515	3358
311	1522	3356
312	1527	3353
313	1534	3352
314	1541	3353
315	1549	3353
316	1556	3354
317	1563	3354
318	1570	3352
319	1578	3353
320	1586	3356
321	1593	3356
322	1602	3358
323	1610	3360
324	1618	3362
325	1627	3365
326	1637	3370
327	1646	3373
328	1654	3375
329	1661	3373
330	1668	3373
331	1676	3373
332	1684	3373
333	1691	3372
334	1697	3369
335	1705	3370
336	1714	3372
337	1717	3363
338	1723	3361
339	1730	3359
340	1737	3357
341	1744	3356
342	1752	3356
343	1760	3356
344	1767	3356
345	1774	3353
346	1779	3348
347	1786	3346
348	1791	3342
349	1800	3343
350	1808	3343
351	1816	3343
352	1825	3345
353	1835	3349
354	1844	3351
355	1852	3351
356	1858	3347
357	1865	3345
358	1872	3343
359	1880	3342
360	1889	3344
361	1896	3343
362	1904	3341
363	1912	3341
364	1919	3339
365	1927	3339
366	1935	3338
367	1943	3337
368	1951	3337
369	1958	3334
370	1964	3331
371	1971	3327
372	1976	3322
373	1984	3321
374	1991	3319
375	1999	3317
376	2006	3316
377	2014	3315
378	2021	3312
379	2031	3315
380	2041	3316
381	2049	3316
382	2057	3313
383	2064	3312
384	2072	3310
385	2080	3308
386	2087	3306
387	2094	3303
388	2103	3303
389	2111	3302
390	2120	3302
391	2127	3299
392	2135	3297
393	2142	3295
394	2150	3293
395	2157	3291
396	2165	3289
397	2173	3287
398	2181	3285
399	2187	3281
400	2197	3282
401	2206	3281
402	2214	3280
403	2223	3280
404	2229	3275
405	2237	3274
406	2247	3274
407	2257	3275
408	2264	3271
409	2271	3269
410	2278	3265
411	2286	3262
412	2293	3259
413	2301	3258
414	2309	3254
415	2315	3251
416	2323	3248
417	2329	3243
418	2336	3239
419	2343	3236
420	2351	3233
421	2359	3231
422	2365	3227
423	2373	3224
424	2381	3221
425	2388	3218
426	2395	3215
427	2402	3211
428	2409	3207
