iter	Passed	Remaining
347	120536	225833
348	120911	225539
349	121270	225216
350	121634	224903
351	122002	224596
352	122381	224309
353	122758	224016
354	123100	223661
355	123436	223294
356	123808	222993
357	124186	222703
358	124551	222388
359	124914	222070
360	125313	221815
361	125653	221454
362	126041	221179
363	126398	220849
364	126792	220584
365	127128	220216
366	127410	219756
367	127756	219408
368	128119	219087
369	128433	218684
370	128717	218230
371	129030	217825
372	129370	217466
373	129732	217145
374	130085	216809
375	130443	216480
376	130800	216150
377	131165	215833
378	131491	215451
379	131831	215092
380	132151	214702
381	132526	214401
382	132887	214077
383	133261	213773
384	133642	213480
385	134029	213197
386	134393	212875
387	134736	212522
388	135113	212221
389	135463	211879
390	135803	211519
391	136091	211080
392	136388	210655
393	136612	210119
394	136997	209831
395	137304	209424
396	137659	209089
397	137997	208730
